XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
180951.8869,2488181.099,196,189,99,27.75038223
180951.8869,2488181.099,196,224,112,64.14407844
178638.9874,2488192.813,199,136,100,258.2606674
178638.9874,2488192.813,199,191,101,180.1026946
178638.9874,2488192.813,199,261,131,189.8449409
180577.7691,2488198.016,204,180,102,205.7185992
180577.7691,2488198.016,204,349,46340,2684.576128
180577.7691,2488198.016,204,362,46340,2684.576128
180577.7691,2488198.016,204,92680,46340,2684.576128
179338.6284,2488202.275,205,206,103,109.7180467
179338.6284,2488202.275,205,208,104,296.2698625
179338.6284,2488202.275,205,239,120,116.4171427
179260.0668,2488125.977,206,205,103,109.7180467
179527.8034,2487974.897,208,205,104,296.2698625
180569.4331,2488208.909,209,181,105,201.5004055
180569.4331,2488208.909,209,356,46342,2678.916148
180569.4331,2488208.909,209,363,46342,2678.916148
180569.4331,2488208.909,209,92683,46342,2678.916148
181245.7424,2488228.817,212,194,106,100.3374022
181245.7424,2488228.817,212,161,107,285.4276856
181245.7424,2488228.817,212,258,130,142.5920299
178540.5874,2488229.608,216,187,108,217.4447773
178540.5874,2488229.608,216,128,109,337.7626128
178540.5874,2488229.608,216,329,186,737.864024
180171.3863,2488230.045,219,220,110,243.787322
180171.3863,2488230.045,219,169,111,171.4658978
180171.3863,2488230.045,219,249,125,482.9194015
179931.6929,2488185.59,220,219,110,243.787322
180913.1977,2488232.262,224,196,112,64.14407844
180913.1977,2488232.262,224,241,122,111.1063882
180913.1977,2488232.262,224,246,123,163.5754692
245490.1068,2488240.063,225,183,113,216.7963084
245490.1068,2488240.063,225,266,135,422.0514968
245490.1068,2488240.063,225,487,244,983.9166534
178930.6103,2488255.334,228,191,114,161.7662611
178930.6103,2488255.334,228,172,115,203.7009049
178930.6103,2488255.334,228,300,151,301.043645
181099.1631,2488257.135,232,189,116,163.3075525
181099.1631,2488257.135,232,194,117,104.3036631
181099.1631,2488257.135,232,236,118,34.05265157
181078.6984,2488284.352,236,232,118,34.05265157
181078.6984,2488284.352,236,246,124,57.09639345
181078.6984,2488284.352,236,258,129,106.5759739
179478.9158,2488264.274,237,289,146,336.7805525
179390.0986,2488306.596,239,205,120,116.4171427
179390.0986,2488306.596,239,253,128,63.45794114
179390.0986,2488306.596,239,337,169,563.2304743
180846.0534,2488320.785,241,157,121,491.1439679
180846.0534,2488320.785,241,224,122,111.1063882
180846.0534,2488320.785,241,267,134,112.0598711
180846.0534,2488320.785,241,272,136,164.0748869
181044.3763,2488329.981,246,224,123,163.5754692
181044.3763,2488329.981,246,236,124,57.09639345
181044.3763,2488329.981,246,272,137,108.7199192
180641.8738,2488330.779,249,219,125,482.9194015
180641.8738,2488330.779,249,181,126,341.3330616
180641.8738,2488330.779,249,282,141,127.674935
180641.8738,2488330.779,249,285,143,123.5394184
180641.8738,2488330.779,249,289,145,1004.644295
179335.5921,2488339.091,253,254,127,65.12153357
179335.5921,2488339.091,253,239,128,63.45794114
179335.5921,2488339.091,253,313,157,222.803703
179301.1837,2488283.802,254,253,127,65.12153357
181165.2606,2488346.525,258,236,129,106.5759739
181165.2606,2488346.525,258,212,130,142.5920299
181165.2606,2488346.525,258,296,149,166.1197073
178564.8544,2488367.585,261,199,131,189.8449409
178564.8544,2488367.585,261,300,150,240.2235144
178564.8544,2488367.585,261,333,167,301.2544929
246683.5158,2488383.364,263,264,132,67.1497342
246683.5158,2488383.364,263,323,162,248.8492448
246683.5158,2488383.364,263,323,163,510.8453143
246695.1348,2488317.272,264,263,132,67.1497342
245122.4213,2488405.821,266,183,133,346.0964312
245122.4213,2488405.821,266,225,135,422.0514968
245122.4213,2488405.821,266,374,187,341.7534157
180782.3446,2488412.972,267,241,134,112.0598711
180782.3446,2488412.972,267,278,140,53.09638133
180782.3446,2488412.972,267,316,158,176.1548537
180979.0424,2488416.881,272,241,136,164.0748869
180979.0424,2488416.881,272,246,137,108.7199192
180979.0424,2488416.881,272,296,148,112.90751
180979.0424,2488416.881,272,308,154,123.9119181
179323.9605,2488426.256,275,276,138,122.3851821
179323.9605,2488426.256,275,294,147,58.7247965
179323.9605,2488426.256,275,305,153,93.53339364
179278.315,2488312.702,276,275,138,122.3851821
180732.0599,2488430.022,278,180,139,494.4184589
180732.0599,2488430.022,278,267,140,53.09638133
180732.0599,2488430.022,278,282,142,34.67112658
180732.0599,2488430.022,278,304,152,83.43881294
180699.2514,2488441.233,282,249,141,127.674935
